utc,jdut,x_km,y_km,z_km
2026-Apr-02 01:58:00.0000,2461132.581944444,-24510.23826854431,-14465.59278336019,-1296.568727088889
2026-Apr-02 01:59:00.0000,2461132.582638889,-24619.17863826417,-14697.01881380733,-1316.660981540933
2026-Apr-02 02:00:00.0000,2461132.583333333,-24726.59704823027,-14927.53623785131,-1336.668397463028
2026-Apr-02 02:01:00.0000,2461132.584027778,-24832.49214960451,-15157.14522085406,-1356.586777302944
2026-Apr-02 02:02:00.0000,2461132.584722222,-24937.06853868234,-15385.90471747847,-1376.447666539191
2026-Apr-02 02:03:00.0000,2461132.585416667,-25040.43386261622,-15613.83978604819,-1396.265932234129
2026-Apr-02 02:04:00.0000,2461132.586111111,-25142.29789089915,-15840.87956966373,-1415.987850686011
2026-Apr-02 02:05:00.0000,2461132.586805556,-25242.70699820587,-16067.03512467613,-1435.617924511915
2026-Apr-02 02:06:00.0000,2461132.5875,-25341.77890716229,-16292.33631819909,-1455.173088121402
2026-Apr-02 02:07:00.0000,2461132.588194444,-25439.53877442433,-16516.79019228878,-1474.654393203115
2026-Apr-02 02:08:00.0000,2461132.588888889,-25535.98749606481,-16740.39510359969,-1494.058784317706
2026-Apr-02 02:09:00.0000,2461132.589583333,-25631.14928122229,-16963.15769369537,-1513.38733682342
2026-Apr-02 02:10:00.0000,2461132.590277778,-25725.04918592953,-17185.0849740022,-1532.641362026827
2026-Apr-02 02:11:00.0000,2461132.590972222,-25817.70724056925,-17406.18245302606,-1551.821387906528
2026-Apr-02 02:12:00.0000,2461132.591666667,-25909.1423904824,-17626.45555370541,-1570.927838675653
2026-Apr-02 02:13:00.0000,2461132.592361111,-25999.37370791808,-17845.90970859404,-1589.961239552428
2026-Apr-02 02:14:00.0000,2461132.593055556,-26088.41980096057,-18064.55031024463,-1608.922112496637
2026-Apr-02 02:15:00.0000,2461132.59375,-26176.29872133155,-18282.38270121508,-1627.810957617878
2026-Apr-02 02:16:00.0000,2461132.594444444,-26263.02807831068,-18499.41218107806,-1646.628270053639
